Name,Specialty,Location,Rating,Reviews
Dr. Walter M Ralph Jr,Otolaryngology,Bronx,5.0,7
Dr. Aaron D Huizenga,Family Medicine,Alexandria Bay,5.0,7
Dr. Christine Chang,Internal Medicine,New York,5.0,27
Dr. Daniel G Swistel,Thoracic Surgery (Cardiothoracic Vascular Surgery),New York,5.0,7
Dr. Veleka M Willis,Obstetrics and Gynecology,New York,5.0,7
Dr. Raul A Ulloa,Family Medicine,Valhalla,5.0,7
Basya V Herbert,,Rochester,5.0,7
Dr. Emma Benjamin,Physical Medicine and Rehabilitation,Brooklyn,5.0,7
Dr. Sima S Pendharkar,Hospitalist,Brooklyn,5.0,7
Dr. Anthony A Garami,Adolescent Medicine,Plattsburgh,5.0,7
Dr. Gregory Kinsella,Anesthesiology,New York,5.0,6
Dr. Edmond Cohen MD,Anesthesiology,New York,5.0,6
Dr. Amy Lazzarini MD,Gastroenterology,Syracuse,5.0,6
Dr. Timothy Cardina MD,Internal Medicine,Ithaca,5.0,6
Dr. Gregory Saboeiro MD,Vascular and Interventional Radiology,New York,5.0,6
Dr. Gregory Kinsella,Anesthesiology,New York,5.0,6
Dr. John A Perrotti,Plastic Surgery,New York,5.0,6
Dr. Leon Mullen,Internal Medicine,East Meadow,5.0,6
Dr. Elliot N Dehaan,Internal Medicine,New York,5.0,6
Dr. Stephen R Karbowitz,Internal Medicine,Flushing,5.0,6
Dr. Shanthi Mogali,Addiction Medicine,New York,5.0,6
Dr. Deepak G Vadhan,Sleep Medicine,Brooklyn,5.0,6
Dr. William M Klein,Internal Medicine,Great Neck,5.0,26
Dr. Mateusz Opyrchal,Medical Oncology,Buffalo,5.0,6
Dr. Alexander H Tejani,Orthopaedic Surgery,Brooklyn,5.0,196
"Dr. Michael Eisenberg MD, MPH",Anesthesiology,Great Neck,5.0,25
Dr. Mark Melrose DO,Emergency Medicine,New York,5.0,5
Susan C Schachner,,Brooklyn,5.0,5
Dr. Bruce S Shulman,Gynecology,Manhasset,5.0,5
Dr. Ursulina L Bencosme,Pediatrics,Bronx,5.0,5
Dr. Lesley Z Glowinsky,Pediatrics,Rochester,5.0,5
Dr. Norman S Fertel,Obstetrics and Gynecology,Brooklyn,5.0,5
Dr. Richard E Greene,Sports Medicine,New York,5.0,5
Dr. David M Sherman,Neurology,New York,5.0,25
Dr. Mun K Hong,Cardiovascular Disease,Cooperstown,5.0,5
Dr. Ahmet L Guler,Internal Medicine,Medina,5.0,5
Dr. Jonathan G Eli-Phillips,Obstetrics and Gynecology,Jamestown,5.0,5
"Dr. James Gasperino MD, PHD",Critical Care Medicine,Bronx,5.0,4
Dr. Gretchen S Burke,Adolescent Medicine,Rochester,5.0,4
James A Gasperino,Pulmonary Disease,Bronx,5.0,4
Dr. Zeev Stegman,Ophthalmology,Bronx,5.0,4
Dr. David K Rabady,Ophthalmology,East Meadow,5.0,4
Dr. Pervaiz Iqbal,Pulmonary Disease,Brooklyn,5.0,4
Dr. Kallanna Manjunath,Pediatrics,Albany,5.0,4
Dr. Esther Kim,Psychiatry,New York,5.0,24
Dr. Loukas S Boutis,Internal Medicine,Manhasset,5.0,19
Dr. Thomas J Russi,Internal Medicine,Brooklyn,5.0,17
Dr. Leslie A Saltzman,Internal Medicine,New York,5.0,17
Dr. Lourdes G Merlo,Hospice and Palliative Medicine,Fresh Meadows,5.0,16
Dr. Ines M Muia-Chisena,Pediatrics,Huntington,5.0,15
Dr. Richard D Glick,Pediatric Surgery,New Hyde Park,5.0,15
Dr. Steven M Gelman,Pediatrics,Brooklyn,5.0,14
Dr. Juan D Pedraza,Child and Adolescent Psychiatry,New York,5.0,14
Dr. Vicki L Shanker,Psychiatry,New York,5.0,14
Dr. Scott J Zuccala,Gynecology,Buffalo,5.0,14
Dr. Eric D Fethke,Pediatrics,Middletown,5.0,14
Dr. Carolina C Baun,Pediatrics,Queens Village,5.0,13
Dr. Peter M Pastuszko,Vascular Surgery,New York,5.0,13
Dr. Rabih A Nemr,Surgery,Brooklyn,5.0,13
Dr. Giuseppe Dellorusso,Pediatrics,East Rockaway,5.0,12
Dr. Jamie L Wells,Pediatrics,New York,5.0,12
Dr. Glenn A Goldstein,Internal Medicine,New York,5.0,12
Dr. Heather S Chang,Ophthalmology,Troy,5.0,12
Dr. Henry J Lee,Radiation Oncology,Bronxville,5.0,12
Dr. Alyson W Smith,Allergy & Immunology,Bronx,5.0,11
Dr. Victor A Rosenberg,Obstetrics and Gynecology,Manhasset,5.0,11
Dr. Robert F Tranbaugh,Thoracic Surgery (Cardiothoracic Vascular Surgery),Brooklyn,5.0,11
Dr. Cynthia L Krause,Obstetrics and Gynecology,New York,5.0,11
Dr. Ingrid K Rosner,Pediatrics,New York,5.0,11
Dr. Marc D Wager,Pediatrics,New Rochelle,5.0,11
Dr. Victor J Vacanti,Internal Medicine,Buffalo,5.0,11
Dr. Alyson W Smith,Pediatrics,Bronx,5.0,11
Dr. Arpita Datta,Pediatrics,Bronx,5.0,11
Dr. Andrew J Fasano,Adolescent Medicine,Bellmore,5.0,11
Dr. Oguz M Akin,Radiology,New York,5.0,11
Dr. Melinda Mingus MD,Anesthesiology,New York,5.0,10
Dr. Stephen Hofmeister MD,Internal Medicine,New York,5.0,10
Dr. Peer Dar,Medical Genetics,Bronx,5.0,10
Dr. Tomas M Heimann,Surgery,New York,5.0,10
Barbara A Zeifer,,New York,5.0,10
Dr. Judy A Wesolowski,Obstetrics and Gynecology,Lewiston,5.0,10
Dr. Paul S Cohen,Internal Medicine,Syracuse,5.0,210
Dr. Michael J Fallon,Radiation Oncology,Cortland,5.0,10
Dr. Imran Faisal,Neurology,New York,5.0,10
Dr. Leonard M Kagan,Obstetrics and Gynecology,West Islip,5.0,10
Dr. Jean M Cacciabaudo,Cardiovascular Disease,Bay Shore,5.0,10
Dr. Afshin Shahkoohi,Internal Medicine,Brooklyn,5.0,10
Dr. Sameet A Palkhiwala,Nuclear Cardiology,Astoria,5.0,10
Dr. Jimmy C Sung,Plastic Surgery,New York,5.0,10
Dr. Jed J Weinberg,Internal Medicine,Huntington,5.0,10
William J Ledger,Obstetrics and Gynecology,New York,5.0,10
Dr. Matthew L Ferrantino,Critical Care Medicine,Rochester,5.0,10
Dr. Andrew J Ogden,Obstetrics and Gynecology,Alexandria Bay,5.0,10
Dr. Jennifer F Canter,Child Abuse Pediatrics,Valhalla,5.0,10
Dr. Marcello M Dibona,Internal Medicine,Bronx,5.0,10
Dr. James A Listman,Pediatric Nephrology,Albany,5.0,9
Dr. Eduardo A Tan,Emergency Medicine,Baldwin Place,5.0,9
Dr. James A Listman,Nephrology,Albany,5.0,9
Dr. Tracy E Alpert,Radiation Oncology,East Syracuse,5.0,9
Dr. Laura J Decker,Family Medicine,Saugerties,5.0,9
Dr. Heera S Shetty,Internal Medicine,Yonkers,5.0,9
Dr. Jorge Sastre,Family Medicine,Brooklyn,5.0,9
Dr. Joseph B Tenenbaum,Critical Care Medicine,New York,5.0,9
Dr. Hillel B Naiman,Internal Medicine,Spring Valley,5.0,9
Dr. Flavia Wajnsztajn-Theil,Obstetrics and Gynecology,New York,5.0,9
Dr. Bolanle A Olajide,Pediatrics,Brooklyn,5.0,9
Dr. Hector R Rodriguez,Internal Medicine,Bronx,5.0,9
Dr. Carter B Lipton,Orthopaedic Surgery of the Hand,New York,5.0,9
Dr. Payel Gupta,Allergy & Immunology,New York,5.0,8
Dr. Lilli Link MD,Internal Medicine,New York,5.0,8
Dr. Flavio Crisari,Internal Medicine,Woodhaven,5.0,8
Dr. Stephen D Eadline,Pediatrics,New Hartford,5.0,8
Dr. Michael W Chisdak,Internal Medicine,Johnson City,5.0,8
Dr. Mickey P Sharma,Geriatric Medicine,Garnerville,5.0,8
Dr. James B Tucker,Obstetrics and Gynecology,Fayetteville,5.0,8
Dr. David G Savage,Internal Medicine,Bronx,5.0,8
Dr. Eric S Barna,Internal Medicine,New York,5.0,8
Dr. Majed El Zouhairi,Internal Medicine,Newburgh,5.0,8
Dr. Peyman E Younesi,Internal Medicine,Jamaica,5.0,8
Dr. Payel Gupta,Pediatrics,New York,5.0,8
Dr. Eileen S Milano,Medical Oncology,Glen Cove,5.0,8
Dr. Michele E Calderoni,Pediatric Adolescent Medicine,New York,5.0,8
Dr. Warner Meadows III MD,Anesthesiology,New York,5.0,7
Dr. Jeanne Fenner MD,Pediatrics,Brooklyn,5.0,7
Dr. Moheb Khouzam MD,Obstetrics and Gynecology,Delhi,5.0,7
Dr. Daniel S Schechter,Psychiatry,New York,5.0,7
Dr. Timothy L Speciale,Neuromusculoskeletal Medicine and OMM,Buffalo,5.0,7
Dr. Sheryl R Sulangi-Lorenc,Family Medicine,Middletown,5.0,7
Dr. Richard L Roth,Cardiovascular Disease,Suffern,5.0,7
Dr. Erin M Dalton,Pediatrics,Brooklyn,5.0,7
Dr. Elizabeth H Mcnany,Family Medicine,Fayetteville,5.0,7
Dr. Nga Q Lai,Emergency Medicine,New York,5.0,7
Dr. Foluke O Salu,Internal Medicine,Nanuet,5.0,7
Dr. Rolando J Rojas,Obstetrics and Gynecology,Montgomery,5.0,7
Dr. Rehan B Asif,Obstetrics and Gynecology,Rochester,5.0,7
Dr. Benjamin Abbadessa,Surgery,New York,5.0,7
Dr. Andrew D Decker,Psychiatry,West Harrison,5.0,7
Dr. Timothy D Ford,Internal Medicine,Camillus,5.0,7
Dr. Zeid F Karadsheh,Gastroenterology,Brooklyn,5.0,7
Dr. Alan E Rauch,Internal Medicine,Albany,5.0,7
Dr. Anahid J Nisanian,Internal Medicine,Brooklyn,5.0,7
Dr. Robert M Bacigalupi,Dermatology,Garden City,5.0,7
Dr. Nick N Patel,Critical Care Medicine,Port Jefferson,5.0,7
Dr. Jeffrey M Meyers,Pediatrics,Rochester,5.0,7
Dr. Peter Dahl,Internal Medicine,New York,5.0,7
Dr. Russell S Kamer,Internal Medicine,White Plains,5.0,7
Ira A Parness,,New York,5.0,7
Dr. David W Appel,Internal Medicine,New York,5.0,7
Dr. Spencer Z Rosero,Clinical Cardiac Electrophysiology,Rochester,5.0,7
Dr. Michael A Contillo,Internal Medicine,Yonkers,5.0,7
Dr. Mary C Daye,Internal Medicine,Liverpool,5.0,7
Faruque Ahmed,,Flushing,5.0,7
Dr. Jeffrey H Stern,Ophthalmology,Albany,5.0,7
Dr. Jaishree Capoor,Sports Medicine,Elmhurst,5.0,7
Dr. Nancy L Mellow,Internal Medicine,New York,5.0,7
Dr. Dang D Nguyen,Internal Medicine,New York,5.0,7
Dr. Lyudmila Kholdarova MD,Anesthesiology,Hicksville,5.0,6
Dr. Ahmed Sawas,Hematology & Oncology,New York,5.0,6
Dr. Theodore Avruskin MD,Pediatric Endocrinology,Brooklyn,5.0,6
Dr. Jose Lizardi MD,Obstetrics and Gynecology,Potsdam,5.0,6
Dr. John Caronna MD,Neurology,New York,5.0,6
Dr. Anna A Kundel,Surgery,New York,5.0,6
Dr. Robert L Carhart Jr,Internal Medicine,Syracuse,5.0,6
Dr. Noel E Taylor,Neurology,New York,5.0,6
Dr. Leo F Stornelli,Family Medicine,Rochester,5.0,6
Dr. Petr Y Sabzanov,Anesthesiology,Brooklyn,5.0,6
Dr. Daniel T Root,Family Medicine,Lowville,5.0,6
Dr. Richard A Gralla,Hematology and Oncology,Bronx,5.0,6
Dr. Helen Shim-Chang,Dermatology,New York,5.0,6
Dr. Robin J Portelli,Family Medicine,Cornwall,5.0,6
Dr. Colette M Spaccavento,Internal Medicine,New York,5.0,6
Dr. Harmit S Kalia,Internal Medicine,Bronx,5.0,6
Dr. Sharon L Gardner,Pediatrics,New York,5.0,6
Dr. Steven E Goldberg,Internal Medicine,Troy,5.0,36
Dr. Pooja Goel,Adult Medicine,Brooklyn,5.0,6
Dr. Johny D Ardeljan,Neurology,Great Neck,5.0,6
Dr. Saima Sultan,Hospice and Palliative Medicine,New York,5.0,6
Dr. Raul J Villacob Roca,Internal Medicine,Brooklyn,5.0,6
Dr. Anne L Nolte,Family Medicine,New York,5.0,6
Dr. Neil N Patel,Family Medicine,Brooklyn,5.0,26
Dr. Kimberly D Kinney,Pediatrics,Orangeburg,5.0,6
Dr. Ali F Aboufares,Internal Medicine,New York,5.0,6
Dr. Wendy A Proskin,Pediatrics,West Harrison,5.0,6
Darius B Greene,,Bethpage,5.0,6
Dr. Zsolt Kulcsar,Rheumatology,New York,5.0,6
Dr. Gabriel J Kaufman,Surgery,Albany,5.0,6
Dr. Ajay R Kamireddi,Diagnostic Radiology,Lindenhurst,5.0,6
Dr. Ahmed Sawas,Internal Medicine,New York,5.0,6
Dr. Biswarup Syam,Internal Medicine,Cortland,5.0,6
Dr. Benjamin G Fogelman,Anesthesiology,Suffern,5.0,6
Dr. Lynne V Perry-Bottinger,Internal Medicine,New Rochelle,5.0,6
Dr. Jeffrey D Nightingale,Ophthalmology,New York,5.0,6
Dr. Gregory M Gustafson,Cardiovascular Disease,Flushing,5.0,6
Alesia P Saboeiro,Plastic Surgery,New York,5.0,6
Monica C Rhee,,New York,5.0,6
Dr. Ann C Garlitski,Internal Medicine,New Hyde Park,5.0,6
Dr. Juan P Rocca,Surgery,Bronx,5.0,6
Dr. James Mclean,Neurology,Queens Village,5.0,6
Dr. Joseph B Porder,Cardiovascular Disease,New York,5.0,6
Dr. Jean Chelala MD,Neonatal-Perinatal Medicine,Poughkeepsie,5.0,5
Dr. Daniel Krellenstein MD,Thoracic Surgery,New York,5.0,5
Dr. Harsha S Reddy,Ophthalmology,New York,5.0,5
Dr. Ayim Darkeh MD,Emergency Medicine,Brooklyn,5.0,5
Bernard D Nidus,,New York,5.0,5
Cynthia D Berkley,,New York,5.0,5
Nancy J Stubbe,,Buffalo,5.0,5
Dr. John K Saunders,Bariatric Medicine,New York,5.0,5
Dr. Marc L Baker,Cardiovascular Disease,Cortland,5.0,5
Dr. Donald R Morere Jr,Internal Medicine,Burnt Hills,5.0,5
